name,work,genre,time
ASSER,Life of King Alfred,biography,893
BAEDA,Ecclesiastical History,religion,731
BEN JONSON,Every Man in His Humour,dramatic literature#satirical play,1598
BEN JONSON,Volpone or The Fox,dramatic literature#satirical play,1606
BEN JONSON,The Alchemist,dramatic literature#satirical play,1598
BEN JONSON,Bartholomew Fair,dramatic literature#satirical play,1598
BEN JONSON,Sejanus,dramatic literature#tragedy,1603
BEN JONSON,Catiline,dramatic literature#tragedy,1611
CHRISTOPHER MARLOWE,The Jew of Malta,dramatic literature,1588
CHRISTOPHER MARLOWE,Dr Faustus,dramatic literature,1588
CHRISTOPHER MARLOWE,Edward the Second,dramatic literature,1588
CHRISTOPHER MARLOWE,Tamburlaine,dramatic literature,1588
EDMUND SPENSER,The Faerie Queene,poetry,1609
EDMUND SPENSER,Complaints,poetry,1590
EDMUND SPENSER,Amoretti,poetry,1595
EDMUND SPENSER,Epithalamion,poetry,1595
EDMUND SPENSER,Astrophel,poetry,1595
EDMUND SPENSER,Colin Clouts Come Home Againe,poetry,1595
EDMUND SPENSER,Prothalamion,poetry,1596
FRANCIS BACON,The Great Instauration,scientific work,1620
FRANCIS BACON,New Method,scientific work,1620
FRANCIS BACON,The New Atlantis,novel,1623
FRANCIS BACON,Essays,essays,1597
FRANCIS BACON,The Wisdom of the Ancients,treatise,1609
GAWAIN DOUGLAS,Palace of Honour,poetry,1501
GAWAIN DOUGLAS,Eneados,translation,1513
GAWAIN DOUGLAS,Conscience,poetry,1513
GAWAIN DOUGLAS,King Hart,poetry,1513
GEOFFREY CHAUCER,The Book of the Duchess,peotry,1368
GEOFFREY CHAUCER,The House of Fame,peotry,1385
JAMES I. OF SCOTLAND.,The King's Quair,autobiography,1406
JOHN BARBOUR.,The Bruce,poetry,1377
JOHN FOXE.,The Book of Martyrs,history,1563
JOHN GOWER.,Speculum Meditantis,poetry,1393
JOHN WYCLIF.,Wycliffe's Bible,religion,1382
LAYAMON.,The Brut,peotry,1205
RICHARD HOOKER.,Laws of Ecclesiastical Polity,religion,1594
ORM.,The Ormulum,peotry,1215
ROBERT OF BRUNNE.,Chronicle of England,poetry,1303
ROBERT OF GLOUCESTER.,Chronicle of England,history,1270
ROGER ASCHAM.,Toxophilus,tutorial,1544
ROGER ASCHAM.,TheScholemastre,treatise,1570
SIR DAVID LYNDESAY.,Lyndesay's Dream,allegory,1528
SIR JOHN MANDEVILLE.,The Voyage and Travels of Sir John Mandeville,prose,0
SIR PHILIP SIDNEY.,Arcadia,prose,1580
SIR PHILIP SIDNEY.,Astrophel and Stella,sonnet,1582
SIR PHILIP SIDNEY.,The Defence of Poesie,literary criticism,1582
SIR PHILIP SIDNEY.,Arcadia,prose,1580
SIR PHILIP SIDNEY.,Astrophel and Stella,sonnet,1582
SIR PHILIP SIDNEY.,The Defence of Poesie,literary criticism,1582
SIR THOMAS MORE.,Utopia,fiction,1516
THOMAS HOBBES.,The Leviathan,treatise,1651
WILLIAM CAXTON.,The Game and Playe of the Chesse,tutorial,1474
WILLIAM DRUMMOND.,Sonnets,poetry#sonnet,0
WILLIAM LANGLANDE.,The Vision of Piers Plowman,allegory,0
WILLIAM SHAKESPEARE.,Othello,tragedy,1603
WILLIAM SHAKESPEARE.,Hamlet,tragedy,1603
WILLIAM SHAKESPEARE.,As You Like It,comedy,1600
WILLIAM SHAKESPEARE.,Cymbeline,comdedy,1594
WILLIAM SHAKESPEARE.,Love's Labour's Lost,comedy,1958
WILLIAM SHAKESPEARE.,Measure for Measure,comdedy,1604
WILLIAM SHAKESPEARE.,The Merchant of Venice,comdedy,1597
WILLIAM SHAKESPEARE.,The Merry Wives of Windsor,comdedy,1601
WILLIAM SHAKESPEARE.,A Midsummer Night's Dream,comedy,1594
WILLIAM SHAKESPEARE.,Much Ado About Nothing,comedy,1599
WILLIAM SHAKESPEARE.,The Taming of the Shrew,comedy,1600
WILLIAM SHAKESPEARE.,The Tempest,comedy,1611
WILLIAM SHAKESPEARE.,Twelfth Night,comedy,1602
WILLIAM SHAKESPEARE.,The Two Gentlemen of Verona,comedy,1623
WILLIAM SHAKESPEARE.,The Winter's Tale,comedy,1623
WILLIAM SHAKESPEARE.,Henry IV,historical play,1598
WILLIAM SHAKESPEARE.,Henry V,historical play,1599
WILLIAM SHAKESPEARE.,Henry VIII,historical play,1623
WILLIAM SHAKESPEARE.,Richard III,historical play,1591
WILLIAM TYNDALE.,New Testament,religion,0
ALEXANDER POPE.,Essay on Criticism,poetry,1711
ALEXANDER POPE.,Rape of the Lock,poetry,1714
ALEXANDER POPE.,Dunciad,poetry,1729
ALEXANDER POPE.,Essay on Man,poetry,1739
DANIEL DEFOE.,Robinson Crusoe,poetry,1719
DANIEL DEFOE.,Journal of the Plague,poetry,1722
JEREMY TAYLOR.,The Rule and Exercises of Holy Living,religion,1650
JEREMY TAYLOR.,The Rule and Exercises of Holy Dying,religion,1651
JOHN BUNYAN.,The Pilgrim's Progress,religion,1678
JOHN DRYDEN.,Hind and Panther,poetry,1687
JOHN DRYDEN.,Annus Mirabilis,poetry,1667
JOHN DRYDEN.,Absalom and Achitophel,poetry,1681
JOHN DRYDEN.,Hind and Panther,poetry,1687
JOHN LOCKE.,Essay concerning the Human Understanding,essay,1690
JONATHAN SWIFT.,Tale of a Tub,prose#satire prose,1704
JOSEPH ADDISON.,A Letter from Italy,poetry,1704
JOSEPH ADDISON.,Cato,dramatic literature#tragedy,1713
SAMUEL BUTLER.,Hudibras,poetry,1662
SIR RICHARD STEELE.,The Conscious Lovers,dramatic literature#comedy,1722
SIR THOMAS BROWNE.,Religio Medici,prose,1635
ADAM SMITH.,Theory of Moral Sentiments,treatise,1759
ADAM SMITH.,Inquiry into the Nature and Causes of the Wealth of Nations,political economy,1776
CHARLES LAMB.,The Essays of Elia,essay,1823
CHARLES LAMB.,he Last Essays of Elia,essay,1833
DAVID HUME.,History of England,history,1754
DR SAMUEL JOHNSON.,London,poetry,1738
DR SAMUEL JOHNSON.,The Vanity of Human Wishes,poetry,1749
DR SAMUEL JOHNSON.,A Dictionary of the English Language,dictionary,1755
DR SAMUEL JOHNSON.,Rasselas,novel#short novel,1759
EDMUND BURKE.,Essay on the Sublime and Beautiful,essay,1757
EDMUND BURKE.,Reflections on the Revolution of France,political theory,1790
EDWARD GIBBON.,Decline and Fall of the Roman Empire,history,1776
GEORGE CRABBE.,The Village,poetry,1783
