name,work,genre,time,subgenre
ASSER,Life of King Alfred,biography,893,biography
BAEDA,Ecclesiastical History,religion,731,religion
BEN JONSON,Every Man in His Humour,dramatic literature,1598,satirical play
BEN JONSON,Volpone or The Fox,dramatic literature,1606,satirical play
BEN JONSON,The Alchemist,dramatic literature,1598,satirical play
BEN JONSON,Bartholomew Fair,dramatic literature,1598,satirical play
BEN JONSON,Sejanus,dramatic literature,1603,tragedy
BEN JONSON,Catiline,dramatic literature,1611,tragedy
CHRISTOPHER MARLOWE,The Jew of Malta,dramatic literature,1588,dramatic literature
CHRISTOPHER MARLOWE,Dr Faustus,dramatic literature,1588,dramatic literature
CHRISTOPHER MARLOWE,Edward the Second,dramatic literature,1588,dramatic literature
CHRISTOPHER MARLOWE,Tamburlaine,dramatic literature,1588,dramatic literature
EDMUND SPENSER,The Faerie Queene,poetry,1609,poetry
EDMUND SPENSER,Complaints,poetry,1590,poetry
EDMUND SPENSER,Amoretti,poetry,1595,poetry
EDMUND SPENSER,Epithalamion,poetry,1595,poetry
EDMUND SPENSER,Astrophel,poetry,1595,poetry
EDMUND SPENSER,Colin Clouts Come Home Againe,poetry,1595,poetry
EDMUND SPENSER,Prothalamion,poetry,1596,poetry
FRANCIS BACON,The Great Instauration,scientific work,1620,scientific work
FRANCIS BACON,New Method,scientific work,1620,scientific work
FRANCIS BACON,The New Atlantis,novel,1623,novel
FRANCIS BACON,Essays,essays,1597,essays
FRANCIS BACON,The Wisdom of the Ancients,treatise,1609,treatise
GAWAIN DOUGLAS,Palace of Honour,poetry,1501,poetry
GAWAIN DOUGLAS,Eneados,translation,1513,translation
GAWAIN DOUGLAS,Conscience,poetry,1513,poetry
GAWAIN DOUGLAS,King Hart,poetry,1513,poetry
GEOFFREY CHAUCER,The Book of the Duchess,peotry,1368,peotry
GEOFFREY CHAUCER,The House of Fame,peotry,1385,peotry
JAMES I. OF SCOTLAND.,The King's Quair,autobiography,1406,autobiography
JOHN BARBOUR.,The Bruce,poetry,1377,poetry
JOHN FOXE.,The Book of Martyrs,history,1563,history
JOHN GOWER.,Speculum Meditantis,poetry,1393,poetry
JOHN WYCLIF.,Wycliffe's Bible,religion,1382,religion
LAYAMON.,The Brut,peotry,1205,peotry
RICHARD HOOKER.,Laws of Ecclesiastical Polity,religion,1594,religion
ORM.,The Ormulum,peotry,1215,peotry
ROBERT OF BRUNNE.,Chronicle of England,poetry,1303,poetry
ROBERT OF GLOUCESTER.,Chronicle of England,history,1270,history
ROGER ASCHAM.,Toxophilus,tutorial,1544,tutorial
ROGER ASCHAM.,TheScholemastre,treatise,1570,treatise
